기준_년_코드,기준_분기_코드,상권_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,상권_변화_지표,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,아파트_단지_수,아파트_평균_시가,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,종합병원_수,일반_병원_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수,상권_구분_코드_D,상권_구분_코드_R,상권_구분_코드_U,젠트리_여부,예측_clust
2023,1,3120133,179229318,49057552,21289431,24495648,28698094,6621614,5395147,23139250,7338510,3,102,54,104,52,9,175510649,139639,68613,71026,13478,21388,22698,26725,31073,25211,25343,19607,21872,30284,17322,19410,19941,20028,20031,20536,21221,18474,30,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1
2023,1,3120134,1709731123,431439136,212306047,214207265,292934371,74049421,51954607,225270680,72600158,1,127,48,104,52,56,171480051,737563,369282,368280,56145,126399,121094,115179,164159,155096,145139,102499,106347,137634,90849,106413,107144,108810,108410,107329,100451,99005,40,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1
2023,1,3120135,493524572,127254779,60767369,60688476,78631016,23890706,15640735,65917567,19370083,4,70,49,104,52,2,305000000,507072,253901,253170,60205,88145,101580,65721,74173,88265,115008,91716,86106,80118,45860,78021,79776,80507,82312,80307,54985,51167,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
2023,1,3120136,1014388880,289235576,121050150,134530821,154415993,36806861,34202950,121460533,41965342,4,97,49,104,52,4,134444318,1901239,908373,992866,150640,341140,323321,291186,365722,366178,381343,284986,288210,362442,218077,271265,274381,276908,280410,281222,266919,250137,51,0,1,0,0,0,0,0,2,0,7,1,0,0,0,1
2023,1,3120138,935436718,233270374,118290519,106401032,154674015,41716863,31317264,125018794,41033535,3,98,54,104,52,6,198046515,541351,255001,286350,97479,85455,91876,68727,86227,115629,118757,77617,76472,91088,61788,79666,80199,81074,82172,81103,69687,67449,23,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1
2023,1,3120139,848171189,208584911,104283241,103630600,145750966,34411296,25225013,125724263,35915330,1,133,51,104,52,30,160487059,851164,423486,427679,99687,100445,135541,173550,209511,213604,173722,105847,105268,143828,108895,121564,121040,120630,120824,120521,121222,125362,46,0,1,0,1,0,0,0,0,0,20,1,0,0,0,1
2023,1,3120141,881638032,229135061,110065342,108414381,147730225,36253566,28930239,109197276,38412826,1,113,48,104,52,11,157051952,509978,254725,255252,43715,87231,88144,75866,90748,136457,111657,63367,61276,75379,61840,73191,73376,72929,73107,73523,72022,71826,13,0,0,0,0,0,0,0,4,0,1,1,0,0,0,1
2023,1,3120142,1307404978,295256254,159122540,145981772,225958401,61060067,38099802,218501561,51864710,4,90,46,104,52,23,128216715,2017561,999703,1017859,122940,257497,359104,410163,514262,337056,382970,271917,294954,464843,265822,284205,280571,281130,281866,287173,296562,306054,56,1,0,0,0,0,0,0,0,2,11,1,0,0,0,1
2023,1,3120143,1735374771,468451402,222654098,191722665,270756492,65608758,67985931,201337602,82667672,2,107,52,104,52,12,156708733,1110927,548505,562422,96511,239786,177553,152465,187539,159454,221648,169179,178622,253181,128843,159800,164868,165385,168300,171705,150852,130017,72,0,0,0,0,0,0,0,0,2,8,1,0,0,0,1
2023,1,3120144,799140374,196723683,104881165,86081014,136770957,39132820,28166614,95202183,36483638,2,116,55,104,52,2,189636364,1722676,796713,925963,253734,276962,310100,211183,272270,374742,375880,242931,237623,296847,194652,249848,253030,254139,252594,252683,232404,227977,22,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2023,1,3120146,939017788,213516573,123883728,96051008,167770467,46851051,31607322,125693592,43261052,2,146,62,104,52,12,147917887,515912,272398,243513,24328,120933,88403,66022,63917,110346,119350,75674,74017,80987,55539,75864,77369,77317,77703,76857,65561,65242,15,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1
2023,1,3120147,770770778,183414920,95590174,90028183,134822205,32267984,23115987,119365648,32497833,1,126,51,104,52,20,221537235,904652,434014,470639,126461,157983,148952,131565,174057,195148,176768,120740,120191,172591,119216,127528,127590,129045,128870,130383,131011,130225,50,0,1,0,0,0,0,0,0,1,14,1,0,0,0,1
2023,1,3120149,1447281665,358764377,178461279,190120343,260563864,56608192,41976429,187640526,63610389,1,109,51,104,52,2,1119568182,1582534,867852,714681,106974,281412,375875,214159,167680,135897,352570,344085,343650,304302,102029,257905,265226,264444,276425,264314,138025,116196,174,0,0,0,0,0,0,1,0,2,16,1,0,0,0,1
2023,1,3120150,340018206,103744613,40775300,51451013,47958532,14525042,11319017,30847420,13238959,1,127,50,104,52,1,964000000,59671,30292,29379,7413,6941,12446,9625,11471,10018,13467,11303,10140,9670,5073,9135,9316,9295,9459,9342,6876,6250,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2023,1,3120152,1461521546,351865841,182334801,171558699,251863664,62848871,44518310,216523865,62391958,2,107,53,104,52,56,197735298,765925,351051,414873,94232,148396,120320,108175,160305,146289,142948,99872,110701,163555,102562,107906,108616,108092,108178,109789,113331,110013,65,0,0,0,0,0,0,0,0,1,13,1,0,0,0,1
